idx,wnid,description
137,n02018207,American_coot
130,n02007558,flamingo
139,n02025239,ruddy_turnstone
91,n01824575,coucal
14,n01537544,indigo_bunting
100,n01860187,black_swan
129,n02006656,spoonbill
141,n02028035,redshank
15,n01558993,robin
128,n02002724,black_stork
136,n02017213,European_gallinule
12,n01532829,house_finch
87,n01817953,African_grey
140,n02027492,red-backed_sandpiper
11,n01531178,goldfinch
8,n01514859,hen
95,n01843065,jacamar
131,n02009229,little_blue_heron
134,n02012849,crane
99,n01855672,goose
16,n01560419,bulbul
145,n02056570,king_penguin
90,n01820546,lorikeet
93,n01829413,hornbill
19,n01592084,chickadee
10,n01530575,brambling
143,n02037110,oystercatcher
89,n01819313,sulphur-crested_cockatoo
24,n01622779,great_grey_owl
88,n01818515,macaw
96,n01843383,toucan
13,n01534433,junco
7,n01514668,cock
9,n01518878,ostrich
22,n01614925,bald_eagle
127,n02002556,white_stork
98,n01855032,red-breasted_merganser
142,n02033041,dowitcher
20,n01601694,water_ouzel
135,n02013706,limpkin
97,n01847000,drake
146,n02058221,albatross
132,n02009912,American_egret
17,n01580077,jay
94,n01833805,hummingbird
144,n02051845,pelican
23,n01616318,vulture
92,n01828970,bee_eater
138,n02018795,bustard
18,n01582220,magpie
21,n01608432,kite
133,n02011460,bittern
