idx,description,wnid,base_accuracy
400,academic_gown,n02669723,0.4
411,apron,n02730930,0.64
414,backpack,n02769748,0.3
433,bathing_cap,n02807133,0.58
443,bib,n02834397,0.56
445,bikini,n02837789,0.6
451,bolo_tie,n02865351,0.76
452,bonnet,n02869837,0.62
457,bow_tie,n02883205,0.6
459,brassiere,n02892767,0.4
461,breastplate,n02895154,0.3
465,bulletproof_vest,n02916936,0.44
474,cardigan,n02963159,0.58
490,chain_mail,n03000247,0.62
501,cloak,n03045698,0.32
514,cowboy_boot,n03124043,0.44
515,cowboy_hat,n03124170,0.46
518,crash_helmet,n03127747,0.74
529,diaper,n03188531,0.58
552,feather_boa,n03325584,0.74
560,football_helmet,n03379051,0.8
568,fur_coat,n03404251,0.8
570,gasmask,n03424325,0.56
578,gown,n03450230,0.46
591,handkerchief,n03485794,0.62
601,hoopskirt,n03534580,0.48
608,jean,n03594734,0.6
610,jersey,n03595614,0.72
614,kimono,n03617480,0.76
615,knee_pad,n03623198,0.7
617,lab_coat,n03630383,0.72
630,Loafer,n03680355,0.64
639,maillot,n03710721,0.2
652,military_uniform,n03763968,0.44
655,miniskirt,n03770439,0.28
658,mitten,n03775071,0.7
679,necklace,n03814906,0.84
689,overskirt,n03866082,0.22
735,poncho,n03980874,0.68
748,purse,n04026417,0.32
770,running_shoe,n04120489,0.6
774,sandal,n04133789,0.54
775,sarong,n04136333,0.52
777,scabbard,n04141327,0.66
793,shower_cap,n04209133,0.62
796,ski_mask,n04229816,0.66
801,snorkel,n04251144,0.82
806,sock,n04254777,0.56
808,sombrero,n04259630,0.52
824,stole,n04325704,0.38
834,suit,n04350905,0.32
837,sunglasses,n04356056,0.2
841,sweatshirt,n04370456,0.28
842,swimming_trunks,n04371430,0.46
869,trench_coat,n04479046,0.2
906,Windsor_tie,n04591157,0.2
