idx,wnid,description
67,n01755581,diamondback
36,n01667778,terrapin
49,n01697457,African_crocodile
53,n01728920,ringneck_snake
68,n01756291,sidewinder
37,n01669191,box_turtle
41,n01685808,whiptail
50,n01698640,American_alligator
47,n01694178,African_chameleon
56,n01734418,king_snake
35,n01667114,mud_turtle
45,n01692333,Gila_monster
58,n01737021,water_snake
40,n01682714,American_chameleon
34,n01665541,leatherback_turtle
43,n01688243,frilled_lizard
46,n01693334,green_lizard
38,n01675722,banded_gecko
62,n01744401,rock_python
60,n01740131,night_snake
61,n01742172,boa_constrictor
63,n01748264,Indian_cobra
59,n01739381,vine_snake
55,n01729977,green_snake
66,n01753488,horned_viper
33,n01664065,loggerhead
44,n01689811,alligator_lizard
54,n01729322,hognose_snake
52,n01728572,thunder_snake
57,n01735189,garter_snake
42,n01687978,agama
39,n01677366,common_iguana
65,n01751748,sea_snake
51,n01704323,triceratops
48,n01695060,Komodo_dragon
64,n01749939,green_mamba
